CustomerID,Name,Age,Gender,Annual_Income,Spending_Score,Membership_Level,Purchase_Frequency,Membership_upgrade,Avg_Order_Value,Preferred_Cuisine,Weekend_Order_Ratio,App_Rating,Avg_Delivery_Tips,Discount_Usage_Freq,Total_Cuisines_Tried,Avg_Delivery_Time,Last_Month_Complaints
CUST1000,Connor Rowland,40,Female,52777,27,Gold,5.2,0,46.16,Indian,0.55,3,5.37,High,8,32.4,0
CUST1001,Cameron Miles MD,28,Female,65910,84,Basic,12.2,0,95.62,Healthy,0.6,4,8.33,Medium,6,41.1,1
CUST1002,Dennis Price,63,Male,56731,51,Silver,2.9,1,69.89,Chinese,0.44,4,8.01,Low,5,47.3,0
CUST1003,Jessica Jones,23,Female,40559,56,Platinum,11.1,0,44.56,Healthy,0.55,5,3.82,Low,9,32.2,0
CUST1004,Kevin Bauer,38,Male,79675,74,Basic,10.7,0,52.27,Indian,0.28,3,6.14,Medium,2,37.7,0
CUST1005,Carol Alvarez,34,Female,67437,20,Silver,5.7,0,44.24,Pizza,0.66,5,5.44,Medium,7,32.5,0
CUST1006,Alex Cunningham,49,Male,62752,44,Silver,8.6,1,35.02,Thai,0.55,3,4.17,High,6,40.1,0
CUST1007,Dennis Hill,41,Female,63584,90,Silver,3.8,0,86.87,Mexican,0.47,5,5.33,Low,7,20.3,0
CUST1008,Kayla Jacobson,51,Male,79024,100,Platinum,10.8,0,87.01,Thai,0.42,4,10.07,High,4,41.2,1
CUST1009,Kevin Barrera,55,Male,25376,70,Gold,14.1,0,30.66,Thai,0.54,4,2.39,Medium,9,37.8,0
CUST1010,Stephanie Acevedo,32,Female,73544,50,Platinum,10.4,1,38.29,Pizza,0.59,4,2.02,Medium,7,25.4,0
CUST1011,Kimberly Jacobs,58,Female,41485,97,Basic,7.7,0,60.98,Healthy,0.37,3,5.58,High,2,57.1,0
CUST1012,William Kennedy,34,Female,61485,81,Basic,2.2,0,81.93,Mexican,0.67,3,7.65,High,4,21.4,0
CUST1013,Kelly Frazier,58,Female,49830,7,Silver,2.7,1,35.5,Italian,0.52,2,3.43,Low,5,38.3,0
CUST1014,Ronnie Mitchell,21,Female,48887,29,Platinum,6.5,1,33.33,Burger,0.47,2,4.02,Low,2,25.4,0
CUST1015,Scott Haynes,21,Female,53513,74,Basic,8.1,,36.57,Pizza,0.26,3,2.96,Medium,10,40.8,0
CUST1016,Daniel Ward,66,Male,62652,61,Gold,10.9,0,50.39,Indian,0.72,5,4.11,Medium,8,55,0
CUST1017,Mary Wise,60,Male,73290,37,Basic,7.4,0,75.1,Italian,0.47,4,4.21,Medium,1,42.8,0
CUST1018,James Alexander,41,Female,76254,16,Basic,4.6,,71.06,Burger,0.52,2,8.43,High,3,33.8,0
CUST1019,Luis Turner,47,Male,49062,26,Basic,1.6,,38.82,Indian,0.49,5,4.15,Low,1,44.3,0
CUST1020,Chris Floyd,49,Female,60834,33,Basic,13.6,0,67.64,Thai,0.26,4,5.75,Medium,5,29.1,0
CUST1021,Matthew Finley,54,Male,65307,18,Basic,3.8,,41.76,Chinese,0.65,5,5.03,Low,8,39.9,1
CUST1022,Mary Brown,22,Female,69983,7,Gold,7.3,0,55.44,Indian,0.52,4,5.75,High,7,35.9,0
CUST1023,Thomas Farmer,43,Female,72742,22,Gold,3.8,1,63.02,Mexican,0.4,3,6.11,High,9,22.8,0
CUST1024,Dominique Miller,31,Male,36426,75,Silver,9.8,1,34.83,Mexican,0.53,4,3.52,Medium,2,52.1,0
CUST1025,Rachel Little,26,Female,49862,30,Gold,6.4,0,64.08,Chinese,0.41,4,7.28,Low,8,47.4,0
CUST1026,Christopher Anderson,69,Female,52327,82,Basic,3.1,0,36.61,Italian,0.49,1,4.25,Medium,8,26.4,0
CUST1027,Antonio Freeman,30,Male,44048,45,Platinum,14.3,0,44.67,Burger,0.58,1,3.52,Medium,6,45.3,0
CUST1028,Virginia Lin,60,Female,75712,7,Silver,7.8,1,82.71,Indian,0.4,2,5.3,Low,3,23.2,0
CUST1029,David Jones,44,Male,43151,81,Gold,10.3,0,23.58,Mexican,0.5,3,1.55,High,2,39.6,0
CUST1030,Sharon Sanders,48,Female,31711,23,Silver,12.5,1,35.12,Italian,0.7,4,4,High,8,35.5,0
CUST1031,Michael Watkins,30,Female,41205,33,Silver,6.4,1,27.63,Chinese,0.4,4,3.79,Medium,6,51.8,0
CUST1032,John Boyd,45,Male,55618,44,Silver,5.1,1,31.43,Healthy,0.38,2,2.86,Medium,4,38.3,0
CUST1033,Justin Wilson,32,Male,81396,69,Silver,2.2,0,117.93,Pizza,0.46,4,7.9,Low,5,19.5,0
CUST1034,Mr. Charles Harper,34,Male,78130,89,Gold,9.5,0,114.51,Healthy,0.27,4,14.39,Medium,5,45.2,0
CUST1035,Brandi Hamilton,21,Male,71818,34,Silver,9.6,0,93.97,Healthy,0.77,3,12.52,Medium,9,30.6,0
CUST1036,Thomas Torres,67,Female,51439,98,Platinum,7.7,0,41.39,Mexican,0.35,1,5.71,Low,9,30.1,0
CUST1037,Todd Duran,39,Male,51647,12,Silver,3,1,30.87,Thai,0.74,2,3.42,Low,8,35.3,0
CUST1038,Patrick Davis,26,Female,54216,8,Silver,11.6,0,64.2,Thai,0.3,4,8.74,Low,8,29.3,0
CUST1039,Kayla Bauer,18,Male,71183,18,Gold,12.3,0,66.92,Chinese,0.5,3,3.45,Low,2,52.9,0
